"term","beta_mean","beta_lo","beta_hi","exp_beta_mean","exp_beta_lo","exp_beta_hi"
"is_home",0.0852879294656638,0.0715165967336167,0.0960483242862337,1.08906396953083,1.07413611719603,1.10081229419243
"opp_strength",-0.183835735260048,-0.194368056805841,-0.169916387908404,0.832096460574587,0.823354808528694,0.8437353618811
"formatvODI",0.146860254474711,-0.492655480767636,0.891840870071275,1.27907168639053,0.611002528922284,2.43961731186313
"formatvT20",-0.0140528661049861,-0.634421838389961,0.738685032997282,1.08986932347304,0.530244181168803,2.0931893664073
"formatvTest",0.234597821167662,-0.388860478313707,0.972958731511421,1.39613833376082,0.677834767076476,2.64579579143452
"fpc_age_1",0.00308444145630744,-0.0185732224852617,0.0290385427063219,1.00319149229168,0.981598197002704,1.02946428928937
"fpc_age_2",0.0106109769655528,-0.0104607082434105,0.0355990922325319,1.01076839775533,0.989593836644019,1.03624033589309
"fpc_age_3",0.0218648391536065,0.00306754263154049,0.0366845387608935,1.02216009086839,1.00307232211561,1.03736572067125
